Date,^SP500TR
2008-09-02,-0.004056724855348692
2008-09-03,-0.0015280681229167259
2008-09-04,-0.02989966666484456
2008-09-05,0.00446900308697562
2008-09-08,0.02067991296808236
2008-09-09,-0.03413436546273785
2008-09-10,0.006203440972825547
2008-09-11,0.014127529591447141
2008-09-12,0.002138559119289729
2008-09-15,-0.047133121617438656
2008-09-16,0.017516807393282985
2008-09-17,-0.04710948240532298
2008-09-18,0.04366940179982404
2008-09-19,0.04024727728691824
2008-09-22,-0.038185686098370364
2008-09-23,-0.015618973488976895
2008-09-24,-0.001967517544814168
2008-09-25,0.019655897278871848
2008-09-26,0.003395144648297155
2008-09-29,-0.08785563771251748
2008-09-30,0.05421016485700636
2008-10-01,-0.004394410724014697
2008-10-02,-0.04012388167862457
2008-10-03,-0.013485856374799265
