Ticker,Name
LOW UN Equity,Lowe's Cos Inc
HUBB UN Equity,Hubbell Inc
MMC UN Equity,Marsh & McLennan Cos Inc
MAS UN Equity,Masco Corp
SPGI UN Equity,S&P Global Inc
MDT UN Equity,Medtronic PLC
CVS UN Equity,CVS Health Corp
DD UN Equity,DuPont de Nemours Inc
MU UW Equity,Micron Technology Inc
NKE UN Equity,NIKE Inc
NI UN Equity,NiSource Inc
NSC UN Equity,Norfolk Southern Corp
ES UN Equity,Eversource Energy
NOC UN Equity,Northrop Grumman Corp
WFC UN Equity,Wells Fargo & Co
OMC UN Equity,Omnicom Group Inc
OKE UN Equity,ONEOK Inc
RJF UN Equity,Raymond James Financial Inc
PCG UN Equity,PG&E Corp
PH UN Equity,Parker-Hannifin Corp
ROL UN Equity,Rollins Inc
PPL UN Equity,PPL Corp
APTV UN Equity,Aptiv PLC
COP UN Equity,ConocoPhillips
PHM UN Equity,PulteGroup Inc
PNC UN Equity,PNC Financial Services Group Inc/The
COO UW Equity,Cooper Cos Inc/The
SLB UN Equity,Schlumberger NV
SCHW UN Equity,Charles Schwab Corp/The
SJM UN Equity,J M Smucker Co/The
SNA UN Equity,Snap-on Inc
UBER UN Equity,Uber Technologies Inc
TFC UN Equity,Truist Financial Corp
LUV UN Equity,Southwest Airlines Co
WRB UN Equity,W R Berkley Corp
SYY UN Equity,Sysco Corp
CTVA UN Equity,Corteva Inc
TXN UW Equity,Texas Instruments Inc
TXT UN Equity,Textron Inc
TJX UN Equity,TJX Cos Inc/The
JCI UN Equity,Johnson Controls International plc
ULTA UW Equity,Ulta Beauty Inc
UNP UN Equity,Union Pacific Corp
KEYS UN Equity,Keysight Technologies Inc
BX UN Equity,Blackstone Inc
VTR UN Equity,Ventas Inc
LH UN Equity,Labcorp Holdings Inc
WY UN Equity,Weyerhaeuser Co
WMB UN Equity,Williams Cos Inc/The
CEG UW Equity,Constellation Energy Corp
WEC UN Equity,WEC Energy Group Inc
ADBE UW Equity,Adobe Inc
AMGN UW Equity,Amgen Inc
AAPL UW Equity,Apple Inc
CTAS UW Equity,Cintas Corp
CMCSA UW Equity,Comcast Corp
TAP UN Equity,Molson Coors Beverage Co
KLAC UW Equity,KLA Corp
MAR UW Equity,Marriott International Inc/MD
MKC UN Equity,McCormick & Co Inc/MD
PCAR UW Equity,PACCAR Inc
COST UW Equity,Costco Wholesale Corp
SYK UN Equity,Stryker Corp
TSN UN Equity,Tyson Foods Inc
LW UN Equity,Lamb Weston Holdings Inc
AMAT UW Equity,Applied Materials Inc
CAH UN Equity,Cardinal Health Inc
CINF UW Equity,Cincinnati Financial Corp
DHI UN Equity,DR Horton Inc
EA UW Equity,Electronic Arts Inc
FICO UN Equity,Fair Isaac Corp
FAST UW Equity,Fastenal Co
FITB UW Equity,Fifth Third Bancorp
HBAN UW Equity,Huntington Bancshares Inc/OH
WELL UN Equity,Welltower Inc
BIIB UW Equity,Biogen Inc
NTRS UW Equity,Northern Trust Corp
PAYX UW Equity,Paychex Inc
QCOM UW Equity,QUALCOMM Inc
ROST UW Equity,Ross Stores Inc
SBUX UW Equity,Starbucks Corp
KEY UN Equity,KeyCorp
FOXA UW Equity,Fox Corp
STT UN Equity,State Street Corp
USB UN Equity,US Bancorp
AOS UN Equity,A O Smith Corp
GEN UW Equity,Gen Digital Inc
TROW UW Equity,T Rowe Price Group Inc
STZ UN Equity,Constellation Brands Inc
IVZ UN Equity,Invesco Ltd
INTU UW Equity,Intuit Inc
MS UN Equity,Morgan Stanley
MCHP UW Equity,Microchip Technology Inc
CRWD UW Equity,Crowdstrike Holdings Inc
CB UN Equity,Chubb Ltd
HOLX UW Equity,Hologic Inc
CFG UN Equity,Citizens Financial Group Inc
JBL UN Equity,Jabil Inc
ORLY UW Equity,O'Reilly Automotive Inc
ALL UN Equity,Allstate Corp/The
EQR UN Equity,Equity Residential
BWA UN Equity,BorgWarner Inc
KDP UW Equity,Keurig Dr Pepper Inc
INCY UW Equity,Incyte Corp
EMN UN Equity,Eastman Chemical Co
AVB UN Equity,AvalonBay Communities Inc
PRU UN Equity,Prudential Financial Inc
WBA UW Equity,Walgreens Boots Alliance Inc
STE UN Equity,STERIS PLC
MCK UN Equity,McKesson Corp
LMT UN Equity,Lockheed Martin Corp
COR UN Equity,Cencora Inc
COF UN Equity,Capital One Financial Corp
CPB UW Equity,The Campbell's Company
NDSN UW Equity,Nordson Corp
DLTR UW Equity,Dollar Tree Inc
DRI UN Equity,Darden Restaurants Inc
DPZ UN Equity,Domino's Pizza Inc
NVR UN Equity,NVR Inc
NTAP UW Equity,NetApp Inc
DVA UN Equity,DaVita Inc
HIG UN Equity,Hartford Insurance Group Inc/The
IRM UN Equity,Iron Mountain Inc
EL UN Equity,Estee Lauder Cos Inc/The
SWKS UW Equity,Skyworks Solutions Inc
DGX UN Equity,Quest Diagnostics Inc
ROK UN Equity,Rockwell Automation Inc
KHC UW Equity,Kraft Heinz Co/The
REGN UW Equity,Regeneron Pharmaceuticals Inc
AMZN UW Equity,Amazon.com Inc
JKHY UW Equity,Jack Henry & Associates Inc
RL UN Equity,Ralph Lauren Corp
BXP UN Equity,BXP Inc
APH UN Equity,Amphenol Corp
HWM UN Equity,Howmet Aerospace Inc
SNPS UW Equity,Synopsys Inc
CHRW UW Equity,CH Robinson Worldwide Inc
ACN UN Equity,Accenture PLC
TDG UN Equity,TransDigm Group Inc
PLD UN Equity,Prologis Inc
VRSN UW Equity,VeriSign Inc
AEE UN Equity,Ameren Corp
FDS UN Equity,FactSet Research Systems Inc
NVDA UW Equity,NVIDIA Corp
CTSH UW Equity,Cognizant Technology Solutions Corp
